"2026/02/12 16:00:07.667 Send : Q"
"2026/02/12 16:00:07.862 US,+0008.987  g"
"2026/02/12 16:00:08.669 Send : Q"
"2026/02/12 16:00:08.831 US,+0008.962  g"
"2026/02/12 16:00:09.668 Send : Q"
"2026/02/12 16:00:09.802 US,+0008.933  g"
"2026/02/12 16:00:10.669 Send : Q"
"2026/02/12 16:00:10.773 US,+0008.908  g"
"2026/02/12 16:00:11.668 Send : Q"
"2026/02/12 16:00:11.744 US,+0008.890  g"
